Id   |Name                     |!|Country                                   |Sponsor                                         |Host                                           |Distance  |Latency
-----+-------------------------+-+------------------------------------------+------------------------------------------------+-----------------------------------------------+----------+-------
19414|Kaliningrad              | |Russia                                    |WestBalt Telecom                                |speedtest.wbt.ru:8080                          |592637.4  |0
23380|Kaliningrad              | |Russia                                    |JSC TransTeleCom                                |speedtest7.ttksever.ru:8080                    |592637.4  |0
25890|Starodub                 | |Russia                                    |SKT Edver Ltd                                   |sp.edvernet.ru:8080                            |680749.5  |0
19965|Velikiye Luki            | |Russia                                    |MART                                            |speedtest.mart.ru:8080                         |842822.1  |0
19861|Belgorod                 | |Russia                                    |Zelenaya.Belgorod                               |speedtest.belgorod.zelenaya.net:8080           |898059.5  |0
20668|Belgorod                 | |Russia                                    |LLC "BSTK"                                      |speedtest.31stk.ru:8080                        |898059.5  |0
4623 |Orel                     | |Russia                                    |JSC "VimpelCom"                                 |speedtest1.orel.beeline.ru:8080                |903797.8  |0
26389|Симферополь              | |Russia                                    |Giganet                                         |speedtest.giga.net.ru:8080                     |932618.2  |0
18778|Simferopol               | |Russia                                    |SevTelecom                                      |sp1.sevtele.com:8080                           |933008.0  |0
24963|Simferopol               | |Russia                                    |Tavrida Telecom                                 |sp.ttk.mx:8080                                 |933008.0  |0
20019|Simferopol               | |Russia                                    |Realnet                                         |st.realcrimea.net:8080                         |933008.0  |0
26237|Simferopol               | |Russia                                    |Win mobile                                      |speedtest.mobile-win.ru:8080                   |933008.0  |0
21617|Yalta                    | |Russia                                    |Yaltanet                                        |speedtest.yaltanet.ru:8080                     |969640.8  |0
4744 |Kaluga                   | |Russia                                    |Beeline                                         |kaluga1.speedtest.corbina.net:8080             |982760.4  |0
19899|Theodosia                | |Russia                                    |OOO TKK FEONET                                  |speedtest.feonet.net:8080                      |1006915.5 |0
23581|Luga                     | |Russia                                    |LugLink.Net                                     |speed.luglink.net:8080                         |1058325.9 |0
19236|Golitsyno                | |Russia                                    |Голицыно Телеком                                |speedtest.gtnet.ru:8080                        |1081409.8 |0
18906|Voronezh                 | |Russia                                    |JOxNET                                          |test.joxnet.ru:8080                            |1085083.9 |0
22820|Voronezh                 | |Russia                                    |RETN                                            |speedtest-voz.retn.net:8080                    |1085083.9 |0
25735|Voronezh                 | |Russia                                    |SETTC                                           |speedtest.uvttk.ru:8080                        |1085083.9 |0
25680|Troitsk                  | |Russia                                    |MosLine Group LLC                               |speedtest-2.mosline.ru:8080                    |1091977.8 |0
21725|Istra                    | |Russia                                    |Istranet                                        |speedtest.istranet.ru:8080                     |1093141.4 |0
4494 |Kingisepp                | |Russia                                    |King-Online Ltd.                                |sp1.king-online.ru:8080                        |1099810.6 |0
