Id   |Name                 |!|Country                                   |Sponsor                              |Host                                     |Distance  |Latency
-----+---------------------+-+------------------------------------------+-------------------------------------+-----------------------------------------+----------+-------
15474|Kikinda              | |Serbia                                    |Victory Media d.o.o                  |speedtest.victorymedia.rs:8080           |520119.1  |0
3787 |Tornjos              | |Serbia                                    |BAU NETWORKS                         |speedtest1.baulink.net:8080              |540408.7  |0
3896 |Becej                | |Serbia                                    |SAT-TRAKT                            |speedtest.stcable.tv:8080                |557128.7  |0
15475|Vršac                | |Serbia                                    |SmileyTV KDS                         |speedtest.smileytv.rs:8080               |564439.0  |0
2437 |Kladovo              | |Serbia                                    |KLADOVONET ISP                       |speedtest.kladovonet.com:8080            |591245.9  |0
3600 |Novi Sad             | |Serbia                                    |E-CAPS.net                           |speed1.e-caps.net:8080                   |598890.5  |0
25034|Novi Sad             | |Serbia                                    |mts                                  |speedtest3.mts.rs:8080                   |598890.5  |0
14476|Belgrade             | |Serbia                                    |Telenor d.o.o.                       |speedtest.telenor.rs:8080                |620062.4  |0
1301 |Belgrade             | |Serbia                                    |Serbia BroadBand                     |speedtest.sbb.rs:8080                    |620062.4  |0
4792 |Belgrade             | |Serbia                                    |Vip mobile doo                       |speedtest.vipmobile.rs:8080              |620062.4  |0
8262 |Belgrade             | |Serbia                                    |BeotelNet                            |speedtest.beotel.net:8080                |620062.4  |0
23473|Belgrade             | |Serbia                                    |Orion Tim                            |speedtest.orion.rs:8080                  |620062.4  |0
20742|Beograd              | |Serbia                                    |Oriontelekom                         |speedtest2.oriontelekom.rs:8080          |620062.4  |0
14833|Arandjelovac         | |Serbia                                    |Optel Telekom                        |speedtest.optel.rs:8080                  |669894.4  |0
8162 |Cuprija              | |Serbia                                    |InterCom Computers                   |194.106.166.120:8080                     |687963.1  |0
5493 |Paracin              | |Serbia                                    |ZR pnwifi Paracin                    |speedtest.pnw.rs:8080                    |693990.9  |0
15153|Sokobanja            | |Serbia                                    |SokoWireless.NET!                    |serv.sokowireless.net:8080               |709422.7  |0
15123|Ljubovija            | |Serbia                                    |Most Net ISP                         |speedtest.mostnet.rs:8080                |721095.6  |0
23025|Aleksinac            | |Serbia                                    |NetNet Telekom d.o.o                 |st4.netnet.rs:8080                       |723020.6  |0
12043|Nis                  | |Serbia                                    |NetNet Telekom d.o.o.                |st1.netnet.rs:8080                       |746009.7  |0
20191|Nis                  | |Serbia                                    |mts                                  |speedtest2.mts.rs:8080                   |746009.7  |0
13378|Nis                  | |Serbia                                    |NiNet Company                        |st.ninet.rs:8080                         |746009.7  |0
1281 |Nis                  | |Serbia                                    |Exe Net d.o.o.                       |92.60.224.24:8080                        |746009.7  |0
4928 |Nis                  | |Serbia                                    |University of Nis                    |speedtest.junis.ni.ac.rs:8080            |746009.7  |0
22960|Pecenjevce           | |Serbia                                    |NetNet Telekom d.o.o                 |st3.netnet.rs:8080                       |768493.3  |0
17128|Leskovac             | |Serbia                                    |Exe Net d.o.o.                       |lespeedtest.exe-net.net:8080             |778412.7  |0
13613|Prishtina            | |Serbia                                    |Artmotion SH.P.K.                    |speedtest.artmotion.net:8080             |828227.9  |0
1089 |Nablus               | |Palestine                                 |Paltel                               |212.14.233.186:8080                      |2171101.5 |0
24539|Nablus               | |Palestine                                 |Mada                                 |speedtest5.mada.ps:8080                  |2171101.5 |0
1699 |Ramallah             | |Palestine                                 |Mada                                 |speedtest.mada.ps:8080                   |2201461.8 |0
1294 |Ramallah             | |Palestine                                 |Paltel                               |82.213.28.12:8080                        |2201461.8 |0
10030|Ramallah             | |Palestine                                 |Together Communications LTD          |speedtest1.together-pal.com:8080         |2201461.8 |0
4610 |Ramallah             | |Palestine                                 |CallU Telecommunication Ltd.         |speedtest2.callu.ps:8080                 |2201461.8 |0
1137 |Gaza                 | |Palestine                                 |Paltel                               |213.244.72.22:8080                       |2216056.6 |0
4846 |Gaza                 | |Palestine                                 |SpeedClick                           |speedtest.speedclick.ps:8080             |2216056.6 |0
24538|Gaza                 | |Palestine                                 |Mada                                 |speedtest4.mada.ps:8080                  |2216056.6 |0
25796|Gaza                 | |Palestine                                 |NetStream                            |speedtest.ns.ps:8080                     |2216056.6 |0
9902 |Gaza                 | |Palestine                                 |Fusion Ltd.                          |speedtest.fusion.ps:8080                 |2216056.6 |0
3402 |Khujand              | |Tajikistan                                |Tcell                                |u1.north.tcell.tj:8080                   |3676581.1 |0
6699 |Khujand              | |Tajikistan                                |Babilon-M                            |speedtest.khujandi.com:8080              |3676581.1 |0
5243 |Dushanbe             | |Tajikistan                                |Megafon Tajikistan                   |speedtest.megafon.tj:8080                |3722413.3 |0
3212 |Dushanbe             | |Tajikistan                                |Babilon-M                            |speedtest.babilon-m.tj:8080              |3722413.3 |0
24269|Dushanbe             | |Tajikistan                                |Babilon-T ISP                        |speedtest.cloud.babilon-t.com:8080       |3722413.3 |0
7575 |Dushanbe             | |Tajikistan                                |Eastera Co. Ltd.                     |speedtest.eastera.tj:8080                |3722413.3 |0
7633 |Road Town            | |Virgin Islands                            |CCTBVI                               |speedtest.cctwireless.com:8080           |8364557.6 |0
2888 |Saint Thomas         | |Virgin Islands                            |Viya                                 |stt-cha-speedtest.vipowernet.net:8080    |8393973.4 |0
4470 |Saint Croix          | |Virgin Islands                            |Viya                                 |stx-fre-speedtest.vipowernet.net:8080    |8430671.1 |0
2885 |Saint Croix          | |Virgin Islands                            |Broadband VI                         |speedteststx.broadband.vi:8080           |8430671.1 |0
6762 |Saint Croix          | |Virgin Islands                            |VI Next Generation Network           |speedtest.vingn.com:8080                 |8430671.1 |0
17644|Aguascalientes       | |MX                                        |NUEVARED                             |sp.nuevared.mx:8080                      |10460136.2|0
17105|Tultitlan            | |MX                                        |Triara                               |speedtest2-tultitlan.triara.com:8080     |10498725.7|0
17108|Ciudad Nezahualcoyotl| |MX                                        |Triara                               |speedtest2-nezahualcoyotl.triara.com:8080|10511478.1|0
17106|Coyoacan             | |MX                                        |Triara                               |speedtest2-coyoacan.triara.com:8080      |10526170.4|0
17107|Santa Fe             | |MX                                        |Triara                               |speedtest2-santafe.triara.com:8080       |10526244.5|0
2910 |Prishtina            | |Kosovo                                    |IPKO Telecommunications              |80.80.160.222:8080                       |828227.9  |0
19187|Prishtina            | |Kosovo                                    |TelKos L.L.C                         |speedtest.telkos.net:8080                |828227.9  |0
3392 |Prishtina            | |Kosovo                                    |PTK                                  |speedtest1.telekomi.net:8080             |828227.9  |0
2836 |Prishtina            | |Kosovo                                    |Kujtesa Net                          |sr1.kujtesa.com:8080                     |828227.9  |0
