Id   |Name                         |!|Country                                   |Sponsor                                                              |Host                                                    |Distance  |Latency
-----+-----------------------------+-+------------------------------------------+---------------------------------------------------------------------+--------------------------------------------------------+----------+-------
14887|Lviv                         |+|Ukraine                                   |UARNet                                                               |speedtest.uar.net:8080                                  |13415.8   |0
21900|L'viv                        |+|Ukraine                                   |Radionetwork                                                         |speedtest.limnet.com.ua:8080                            |13415.8   |0
2445 |Lviv                         |+|Ukraine                                   |KOM i TEX                                                            |speedtest.komitex.net:8080                              |13651.1   |0
12786|Lviv                         |+|Ukraine                                   |ASTRA ISP                                                            |speedtest.astra.in.ua:8080                              |13651.1   |0
16367|Lviv                         |+|Ukraine                                   |PointNet                                                             |speedtest.point.lviv.ua:8080                            |13651.1   |0
1204 |Lviv                         |+|Ukraine                                   |Network-Lviv ISP                                                     |speedtest.network.lviv.ua:8080                          |13651.1   |0
6225 |Lviv                         |+|Ukraine                                   |ZNet                                                                 |178.212.102.70:8080                                     |13651.1   |0
25128|Novy Rozdil                  |+|Ukraine                                   |Nim-Net                                                              |speedtest.nim-net.com.ua:8080                           |28135.4   |0
24005|Novoiavorivsk                |+|Ukraine                                   |SkyNet                                                               |speedtest.e-xata.net.ua:8080                            |43865.6   |0
1162 |Stryi                        |+|Ukraine                                   |Telelan                                                              |speedtest.telelan.com.ua:8080                           |55823.4   |0
2351 |Zolochiv                     |+|Ukraine                                   |CSO                                                                  |cso.com.ua:8080                                         |58830.3   |0
3399 |Berezhany                    |+|Ukraine                                   |ISP MegaCom                                                          |game.ber.te.ua:8080                                     |67998.1   |0
4027 |Kalush                       |+|Ukraine                                   |Kalush information network Ltd                                       |speedtest1.kim.in.ua:8080                               |78328.1   |0
24854|Kalush                       |+|Ukraine                                   |IT LUX                                                               |speedtest.itlux.if.ua:8080                              |78328.1   |0
23510|Galich                       |+|Ukraine                                   |Plenet                                                               |misha.plenet.com.ua:8080                                |81437.7   |0
9707 |Lubaczow                     |+|Poland                                    |NetX.org.pl Grzegorz Bąk                                             |speedtest1.netx.org.pl:8080                             |84289.9   |0
21112|Oleszyce                     |+|Poland                                    |PGnet Piotr Gryniewicz                                               |testpgnet.pl:8080                                       |90280.7   |0
10396|Przemysl                     |+|Poland                                    |Scoon Hardware Lab                                                   |st1.scoon.pl:8080                                       |95468.4   |0
20155|Ivano-Frankivsk              |+|Ukraine                                   |Zahidna Multyservisna Merezha, LLC                                   |speedtest.zmm.if.ua:8080                                |100824.9  |0
20021|Tysmenytsya                  |+|Ukraine                                   |INFOBYTE                                                             |test.infobyte.com.ua:8080                               |107171.9  |0
15329|Jaroslaw                     |+|Poland                                    |OXYNET S.A.                                                          |speedtest.oxynet.pl:8080                                |107262.4  |0
26417|Ternopil                     |+|Ukraine                                   |ISP Columbus                                                         |speedtest.columbus.te.ua:8080                           |109955.7  |0
2911 |Zamosc                       |+|Poland                                    |DERKOM SP. J.                                                        |speedtest.derkom.net.pl:8080                            |125925.6  |0
19219|Nadvirna                     |+|Ukraine                                   |IT LUX TELECOM                                                       |speedtest.itlux.net:8080                                |127906.4  |0
15934|Biłgoraj                     |+|Poland                                    |Cyfrotel                                                             |speed1.cyfrotel.pl:8080                                 |135173.1  |0
5847 |Lancut                       |+|Poland                                    |MAT-SAT                                                              |sp1.mat-sat.pl:8080                                     |138571.6  |0
1607 |Kolomyia                     |+|Ukraine                                   |KBAHT-II                                                             |speedtest2.kvant.if.ua:8080                             |147520.2  |0
23431|Kolomyia                     |+|Ukraine                                   |VILAN                                                                |ookla.vilan.if.ua:8080                                  |147520.2  |0
3092 |Kolomyia                     |+|Ukraine                                   |NTK                                                                  |speedtest.ntktv.ua:8080                                 |147520.2  |0
11489|Laka                         |+|Poland                                    |Spoldzielnia Telekomunikacyjna WIST                                  |speedtest.wist.com.pl:8080                              |149180.1  |0
2217 |Tyczyn                       |+|Poland                                    |OST Tyczyn                                                           |speedtest.ostnet.pl:8080                                |150184.0  |0
25030|Svalyava                     |+|Ukraine                                   |Svalyava.Net                                                         |speedtest.svalyava.net:8080                             |154045.4  |0
14140|Rzeszow                      |+|Poland                                    |Skyware                                                              |speedtest.skyware.pl:8080                               |154154.2  |0
2367 |Rzeszow                      |+|Poland                                    |RES.PL ISP                                                           |speedtest.res.pl:8080                                   |154306.2  |0
11451|Rzeszów                      |+|Poland                                    |Voice Net S.A.                                                       |sp2.voice-net.pl:8080                                   |154306.2  |0
20885|Rzeszow                      |+|Poland                                    |Enformatic Sp. z o.o.                                                |speedtest.enformatic.pl:8080                            |154306.2  |0
10645|Krasnystaw                   |+|Poland                                    |AKASHA.NET SP.Z.O.O.                                                 |speedtest.akashanet.pl:8080                             |154502.5  |0
16541|Snina                        |+|Slovakia                                  |.belNET                                                              |speedtest.belnet.sk:8080                                |162519.8  |0
21899|Zabolotiv                    |+|Ukraine                                   |ArslanNet LTD                                                        |speedtest.arslannet.net.ua:8080                         |164158.8  |0
4167 |Strzyzow                     |+|Poland                                    |Strzyzowski Net                                                      |speedtest1.strzyzowski.net:8080                         |166781.1  |0
6785 |Krosno                       |+|Poland                                    |Stimo                                                                |193.192.176.222:8080                                    |168668.9  |0
8409 |Krosno                       |+|Poland                                    |IT Systematic Group                                                  |sp.systematic.pl:8080                                   |168668.9  |0
3235 |Kovel                        |+|Ukraine                                   |UAinet ISP                                                           |uainet.net:8080                                         |171666.8  |0
8259 |Stalowa Wola                 |+|Poland                                    |MTM-Info                                                             |speed1.mtm-info.pl:8080                                 |173111.3  |0
2033 |Stalowa Wola                 |+|Poland                                    |InterBlock                                                           |speedtest.interblock.pl:8080                            |173111.3  |0
23401|Sniatyn                      |+|Ukraine                                   |ISP Prostir                                                          |speedtest.prostir.if.ua:8080                            |178543.0  |0
9648 |Uzhgorod                     |+|Ukraine                                   |KRAM                                                                 |st01.kram.ua:8080                                       |179599.2  |0
3022 |Uzhgorod                     |+|Ukraine                                   |TransCom                                                             |speedtest.tcom.uz.ua:8080                               |179599.2  |0
9740 |Ropczyce                     |+|Poland                                    |TELNET Ropczyce                                                      |speedtest1.r-ce.pl:8080                                 |181735.1  |0
2558 |Rivne                        |+|Ukraine                                   |Campus Networks                                                      |test.campus-rv.net:8080                                 |182938.0  |0
4996 |Nowa Deba                    |+|Poland                                    |HLG Sp. z o.o.                                                       |speedtest1.hlg.com.pl:8080                              |183796.9  |0
18661|Svidnik                      |+|Slovakia                                  |ELKVANT                                                              |stest1.elkvant.sk:8080                                  |188305.7  |0
7952 |Krasnik                      |+|Poland                                    |Instalnet Szabat Rydzewski Sp. J.                                    |speedtest.instalnet.pl:8080                             |189219.8  |0
18548|Świdnik                      |+|Poland                                    |Swidman s.c.                                                         |speedtest1.swidman.pl:8080                              |192983.8  |0
23280|Leczna                       |+|Poland                                    |Mik-Net                                                              |imik.pl:8080                                            |194933.5  |0
10858|Debica                       |+|Poland                                    |MULTINET 24 SP Z O.O.                                                |testpredkosci.multinet24.pl:8080                        |195212.9  |0
3670 |Debica                       |+|Poland                                    |inhost.pro                                                           |speed.ihst.pl:8080                                      |195212.9  |0
23573|Giraltovce                   |+|Slovakia                                  |MCOM-NET s.r.o.                                                      |vhost4.mcom.sk:8080                                     |198705.9  |0
18869|Lublin                       |+|Poland                                    |Orange Polska S.A.                                                   |lub-o1.speedtest.orange.pl:8080                         |199514.5  |0
7129 |Lublin                       |+|Poland                                    |Enterpol                                                             |speed.enterpol.pl:8080                                  |199514.5  |0
878  |Lublin                       |+|Poland                                    |VIP-Net                                                              |speedtest.vip-net.pl:8080                               |199514.5  |0
25702|Lublin                       |+|Poland                                    |Wirtualne Powiaty 3                                                  |speedtest2.wirtualnepowiaty.pl:8080                     |199514.5  |0
5501 |Beregovo                     |+|Ukraine                                   |TRC Studio TV-9 Beregsasom                                           |91.224.178.3:80                                         |200538.0  |0
6306 |Mielec                       |+|Poland                                    |FPUH Czajen                                                          |speedtest.czajen.pl:8080                                |201183.1  |0
1590 |Mielec                       |+|Poland                                    |WDM Sp. z o.o.                                                       |speedtest.wdm.pl:8080                                   |201183.1  |0
23572|Hanušovce nad Topľou         |+|Slovakia                                  |MCOM-NET s.r.o.                                                      |vhost3.mcom.sk:8080                                     |203158.6  |0
7600 |Wlodawa                      |+|Poland                                    |EFEKT-SERWIS                                                         |speedtest.wlodawa.pl:8080                               |206552.3  |0
7901 |Wlodawa                      |+|Poland                                    |Telekomunikacja Wschod sp. z o.o.                                    |178.216.24.29:8080                                      |206552.3  |0
5766 |Chernivtsi                   |+|Ukraine                                   |Alpha Group                                                          |speedtest1.alpha.cv.ua:8080                             |207942.9  |0
19332|Chernivtsi                   |+|Ukraine                                   |C.T.Net LTD                                                          |speedtest.ctn.cv.ua:8080                                |207942.9  |0
6291 |Chernivtsi                   |+|Ukraine                                   |Intelekt Group                                                       |spdt.intelekt.cv.ua:8080                                |207942.9  |0
