Id   |Name                                 |!|Country                                   |Sponsor                                                              |Host                                                    |Distance  |Latency
-----+-------------------------------------+-+------------------------------------------+---------------------------------------------------------------------+--------------------------------------------------------+----------+-------
14887|Lviv                                 |+|Ukraine                                   |UARNet                                                               |speedtest.uar.net:8080                                  |316.8     |0
21900|L'viv                                |+|Ukraine                                   |Radionetwork                                                         |speedtest.limnet.com.ua:8080                            |316.8     |0
2445 |Lviv                                 |+|Ukraine                                   |KOM i TEX                                                            |speedtest.komitex.net:8080                              |2269.8    |0
12786|Lviv                                 |+|Ukraine                                   |ASTRA ISP                                                            |speedtest.astra.in.ua:8080                              |2269.8    |0
17398|Lviv                                 |+|Ukraine                                   |ISP Kopiyka                                                          |speedtest.kopiyka.org:8080                              |2269.8    |0
16367|Lviv                                 |+|Ukraine                                   |PointNet                                                             |speedtest.point.lviv.ua:8080                            |2269.8    |0
1204 |Lviv                                 |+|Ukraine                                   |Network-Lviv ISP                                                     |speedtest.network.lviv.ua:8080                          |2269.8    |0
6225 |Lviv                                 |+|Ukraine                                   |ZNet                                                                 |178.212.102.70:8080                                     |2269.8    |0
26293|Lviv                                 |+|Ukraine                                   |LinkCom ISP                                                          |st.lc.lviv.ua:8080                                      |2269.8    |0
24005|Novoiavorivsk                        |+|Ukraine                                   |SkyNet                                                               |speedtest.e-xata.net.ua:8080                            |34253.3   |0
25128|Novy Rozdil                          |+|Ukraine                                   |Nim-Net                                                              |speedtest.nim-net.com.ua:8080                           |41582.9   |0
2351 |Zolochiv                             |+|Ukraine                                   |CSO                                                                  |cso.com.ua:8080                                         |62778.0   |0
1162 |Stryi                                |+|Ukraine                                   |Telelan                                                              |speedtest.telelan.com.ua:8080                           |67174.1   |0
9707 |Lubaczow                             |+|Poland                                    |NetX.org.pl Grzegorz Bąk                                             |speedtest1.netx.org.pl:8080                             |73527.8   |0
3399 |Berezhany                            |+|Ukraine                                   |ISP MegaCom                                                          |game.ber.te.ua:8080                                     |78486.1   |0
21112|Oleszyce                             |+|Poland                                    |PGnet Piotr Gryniewicz                                               |testpgnet.pl:8080                                       |79740.6   |0
10396|Przemysl                             |+|Poland                                    |Scoon Hardware Lab                                                   |st1.scoon.pl:8080                                       |90754.4   |0
4027 |Kalush                               |+|Ukraine                                   |Kalush information network Ltd                                       |speedtest1.kim.in.ua:8080                               |92012.0   |0
24854|Kalush                               |+|Ukraine                                   |IT LUX                                                               |speedtest.itlux.if.ua:8080                              |92012.0   |0
23510|Galich                               |+|Ukraine                                   |Plenet                                                               |misha.plenet.com.ua:8080                                |94758.4   |0
15329|Jaroslaw                             |+|Poland                                    |OXYNET S.A.                                                          |speedtest.oxynet.pl:8080                                |99455.2   |0
2911 |Zamosc                               |+|Poland                                    |DERKOM SP. J.                                                        |speedtest.derkom.net.pl:8080                            |112346.9  |0
20155|Ivano-Frankivsk                      |+|Ukraine                                   |Zahidna Multyservisna Merezha, LLC                                   |speedtest.zmm.if.ua:8080                                |114460.0  |0
26417|Ternopil                             |+|Ukraine                                   |ISP Columbus                                                         |speedtest.columbus.te.ua:8080                           |117255.8  |0
20021|Tysmenytsya                          |+|Ukraine                                   |INFOBYTE                                                             |test.infobyte.com.ua:8080                               |120656.1  |0
15934|Biłgoraj                             |+|Poland                                    |Cyfrotel                                                             |speed1.cyfrotel.pl:8080                                 |123110.2  |0
