2500: ─    2501: ━    2502: │    2503: ┃    2504: ┄    2505: ┅    2506: ┆    2507: ┇
2508: ┈    2509: ┉    250A: ┊    250B: ┋    250C: ┌    250D: ┍    250E: ┎    250F: ┏
2510: ┐    2511: ┑    2512: ┒    2513: ┓    2514: └    2515: ┕    2516: ┖    2517: ┗
2518: ┘    2519: ┙    251A: ┚    251B: ┛    251C: ├    251D: ┝    251E: ┞    251F: ┟
2520: ┠    2521: ┡    2522: ┢    2523: ┣    2524: ┤    2525: ┥    2526: ┦    2527: ┧
2528: ┨    2529: ┩    252A: ┪    252B: ┫    252C: ┬    252D: ┭    252E: ┮    252F: ┯
2530: ┰    2531: ┱    2532: ┲    2533: ┳    2534: ┴    2535: ┵    2536: ┶    2537: ┷
2538: ┸    2539: ┹    253A: ┺    253B: ┻    253C: ┼    253D: ┽    253E: ┾    253F: ┿
2540: ╀    2541: ╁    2542: ╂    2543: ╃    2544: ╄    2545: ╅    2546: ╆    2547: ╇
2548: ╈    2549: ╉    254A: ╊    254B: ╋    254C: ╌    254D: ╍    254E: ╎    254F: ╏
2550: ═    2551: ║    2552: ╒    2553: ╓    2554: ╔    2555: ╕    2556: ╖    2557: ╗
2558: ╘    2559: ╙    255A: ╚    255B: ╛    255C: ╜    255D: ╝    255E: ╞    255F: ╟
2560: ╠    2561: ╡    2562: ╢    2563: ╣    2564: ╤    2565: ╥    2566: ╦    2567: ╧
2568: ╨    2569: ╩    256A: ╪    256B: ╫    256C: ╬    256D: ╭    256E: ╮    256F: ╯
2570: ╰    2571: ╱    2572: ╲    2573: ╳    2574: ╴    2575: ╵    2576: ╶    2577: ╷
2578: ╸    2579: ╹    257A: ╺    257B: ╻    257C: ╼    257D: ╽    257E: ╾    257F: ╿
2580: ▀    2581: ▁    2582: ▂    2583: ▃    2584: ▄    2585: ▅    2586: ▆    2587: ▇
2588: █    2589: ▉    258A: ▊    258B: ▋    258C: ▌    258D: ▍    258E: ▎    258F: ▏
2590: ▐    2591: ░    2592: ▒    2593: ▓    2594: ▔    2595: ▕    2596: ▖    2597: ▗
2598: ▘    2599: ▙    259A: ▚    259B: ▛    259C: ▜    259D: ▝    259E: ▞    259F: ▟
25A0: ■    25A1: □    25A2: ▢    25A3: ▣    25A4: ▤    25A5: ▥    25A6: ▦    25A7: ▧
25A8: ▨    25A9: ▩    25AA: ▪    25AB: ▫    25AC: ▬    25AD: ▭    25AE: ▮    25AF: ▯
25B0: ▰    25B1: ▱    25B2: ▲    25B3: △    25B4: ▴    25B5: ▵    25B6: ▶    25B7: ▷
25B8: ▸    25B9: ▹    25BA: ►    25BB: ▻    25BC: ▼    25BD: ▽    25BE: ▾    25BF: ▿
25C0: ◀    25C1: ◁    25C2: ◂    25C3: ◃    25C4: ◄    25C5: ◅    25C6: ◆    25C7: ◇
25C8: ◈    25C9: ◉    25CA: ◊    25CB: ○    25CC: ◌    25CD: ◍    25CE: ◎    25CF: ●
25D0: ◐    25D1: ◑    25D2: ◒    25D3: ◓    25D4: ◔    25D5: ◕    25D6: ◖    25D7: ◗
25D8: ◘    25D9: ◙    25DA: ◚    25DB: ◛    25DC: ◜    25DD: ◝    25DE: ◞    25DF: ◟
25E0: ◠    25E1: ◡    25E2: ◢    25E3: ◣    25E4: ◤    25E5: ◥    25E6: ◦    25E7: ◧
25E8: ◨    25E9: ◩    25EA: ◪    25EB: ◫    25EC: ◬    25ED: ◭    25EE: ◮    25EF: ◯
25F0: ◰    25F1: ◱    25F2: ◲    25F3: ◳    25F4: ◴    25F5: ◵    25F6: ◶    25F7: ◷
25F8: ◸    25F9: ◹    25FA: ◺    25FB: ◻    25FC: ◼    25FD: ◽    25FE: ◾    25FF: ◿
2600: ☀    2601: ☁    2602: ☂    2603: ☃    2604: ☄    2605: ★    2606: ☆    2607: ☇
2608: ☈    2609: ☉    260A: ☊    260B: ☋    260C: ☌    260D: ☍    260E: ☎    260F: ☏
2610: ☐    2611: ☑    2612: ☒    2613: ☓    2614: ☔    2615: ☕    2616: ☖    2617: ☗
2618: ☘    2619: ☙    261A: ☚    261B: ☛    261C: ☜    261D: ☝    261E: ☞    261F: ☟
2620: ☠    2621: ☡    2622: ☢    2623: ☣    2624: ☤    2625: ☥    2626: ☦    2627: ☧
2628: ☨    2629: ☩    262A: ☪    262B: ☫    262C: ☬    262D: ☭    262E: ☮    262F: ☯
2630: ☰    2631: ☱    2632: ☲    2633: ☳    2634: ☴    2635: ☵    2636: ☶    2637: ☷
2638: ☸    2639: ☹    263A: ☺    263B: ☻    263C: ☼    263D: ☽    263E: ☾    263F: ☿
2640: ♀    2641: ♁    2642: ♂    2643: ♃    2644: ♄    2645: ♅    2646: ♆    2647: ♇
2648: ♈    2649: ♉    264A: ♊    264B: ♋    264C: ♌    264D: ♍    264E: ♎    264F: ♏
2650: ♐    2651: ♑    2652: ♒    2653: ♓    2654: ♔    2655: ♕    2656: ♖    2657: ♗
2658: ♘    2659: ♙    265A: ♚    265B: ♛    265C: ♜    265D: ♝    265E: ♞    265F: ♟

